iter	Passed	Remaining
871	4782	701
872	4785	696
873	4787	690
874	4790	684
875	4793	678
876	4827	677
877	4833	671
878	4836	665
879	4840	660
880	4842	654
881	4845	648
882	4848	642
883	4851	636
884	4866	632
885	4869	626
886	4871	620
887	4874	614
888	4877	609
889	4880	603
890	4883	597
891	4898	593
892	4929	590
893	4959	588
894	4965	582
895	4973	577
896	4975	571
897	4989	566
898	4992	560
899	4995	555
900	4997	549
901	5000	543
902	5004	537
903	5011	532
904	5014	526
905	5017	520
906	5019	514
907	5023	508
908	5026	503
909	5029	497
910	5032	491
911	5037	486
912	5048	481
913	5051	475
914	5053	469
915	5078	465
916	5091	460
917	5094	455
918	5097	449
919	5100	443
920	5103	437
921	5106	431
922	5109	426
923	5123	421
924	5125	415
925	5128	409
926	5138	404
927	5168	400
928	5171	395
929	5173	389
930	5177	383
931	5179	377
932	5182	372
933	5185	366
934	5188	360
935	5190	354
936	5194	349
937	5199	343
938	5205	338
939	5213	332
940	5216	327
941	5219	321
942	5223	315
943	5226	310
944	5229	304
945	5232	298
946	5235	293
947	5242	287
948	5247	282
949	5271	277
950	5277	271
951	5280	266
952	5300	261
953	5330	257
954	5361	252
955	5365	246
956	5368	241
957	5376	235
958	5380	230
959	5383	224
960	5386	218
961	5407	213
962	5410	207
963	5413	202
964	5429	196
965	5437	191
966	5440	185
967	5451	180
968	5455	174
969	5458	168
970	5485	163
971	5499	158
972	5528	153
973	5543	147
974	5547	142
975	5549	136
976	5552	130
977	5555	124
978	5559	119
979	5566	113
980	5569	107
981	5574	102
982	5577	96
983	5580	90
984	5591	85
985	5605	79
986	5607	73
987	5610	68
988	5613	62
989	5618	56
990	5632	51
991	5636	45
992	5647	39
993	5651	34
994	5653	28
995	5656	22
996	5664	17
997	5694	11
998	5699	5
999	5702	0
